NAME,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,SchDistNam,ESC_CITY,ESC_REGION
Point Isabel ISD,31909,031-909,31909,4835250,Point Isabel ISD,Edinburg,1
San Perlita ISD,245904,245-904,245904,4839000,San Perlita ISD,Edinburg,1
Raymondville ISD,245903,245-903,245903,4836540,Raymondville ISD,Edinburg,1
Lasara ISD,245901,245-901,245901,4826850,Lasara ISD,Edinburg,1
Santa Rosa ISD,31914,031-914,31914,4839360,Santa Rosa ISD,Edinburg,1
Santa Maria ISD,31913,031-913,31913,4839330,Santa Maria ISD,Edinburg,1
San Benito Cons ISD,31912,031-912,31912,4838790,San Benito Cons ISD,Edinburg,1
Rio Hondo ISD,31911,031-911,31911,4837170,Rio Hondo ISD,Edinburg,1
Los Fresnos Cons ISD,31906,031-906,31906,4828290,Los Fresnos Cons ISD,Edinburg,1
La Feria ISD,31905,031-905,31905,4826040,La Feria ISD,Edinburg,1
Harlingen Cons ISD,31903,031-903,31903,4822530,Harlingen Cons ISD,Edinburg,1
Brownsville ISD,31901,031-901,31901,4811680,Brownsville ISD,Edinburg,1
Jim Hogg County ISD,124901,124-901,124901,4824750,Jim Hogg County ISD,Edinburg,1
Webb Cons ISD,240904,240-904,240904,4844810,Webb Cons ISD,Edinburg,1
Zapata County ISD,253901,253-901,253901,4846710,Zapata County ISD,Edinburg,1
Laredo ISD,240901,240-901,240901,4826790,Laredo ISD,Edinburg,1
United ISD,240903,240-903,240903,4843650,United ISD,Edinburg,1
Weslaco ISD,108913,108-913,108913,4844960,Weslaco ISD,Edinburg,1
Valley View ISD (Hidalgo),108916,108-916,108916,4843800,Valley View ISD (Hidalgo),Edinburg,1
Sharyland ISD,108911,108-911,108911,4839930,Sharyland ISD,Edinburg,1
Progreso ISD,108910,108-910,108910,4835910,Progreso ISD,Edinburg,1
Pharr-San Juan-Alamo ISD,108909,108-909,108909,4834860,Pharr-San Juan-Alamo ISD,Edinburg,1
Monte Alto ISD,108915,108-915,108915,4831230,Monte Alto ISD,Edinburg,1
San Isidro ISD,214902,214-902,214902,4838910,San Isidro ISD,Edinburg,1
Mission Cons ISD,108908,108-908,108908,4831040,Mission Cons ISD,Edinburg,1
Roma ISD,214903,214-903,214903,4837740,Roma ISD,Edinburg,1
Mercedes ISD,108907,108-907,108907,4830250,Mercedes ISD,Edinburg,1
Rio Grande City Cons ISD,214901,214-901,214901,4837140,Rio Grande City Cons ISD,Edinburg,1
